11:23:01.801 1557 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
11:23:01.886 1642 INFO  c.e.e.ECommerceDashboardApplication - Starting ECommerceDashboardApplication using Java 17.0.12 with PID 5792 (C:\java_projects\e-commerce-dashboard\e-commerce-dashboard\target\classes started by saad in C:\java_projects\e-commerce-dashboard\e-commerce-dashboard)
11:23:01.888 1644 INFO  c.e.e.ECommerceDashboardApplication - The following 1 profile is active: "dev"
11:23:03.942 3698 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
11:23:04.095 3851 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 142 ms. Found 3 MongoDB repository interfaces.
11:23:05.376 5132 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
11:23:05.395 5151 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
11:23:05.401 5157 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:23:05.402 5158 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
11:23:05.534 5290 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:23:05.536 5292 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3456 ms
11:23:06.051 5807 INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "e-commerce-dashboard"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='muhammadsaadoo303', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@39da5e49, com.mongodb.Jep395RecordCodecProvider@2443abd6, com.mongodb.KotlinCodecProvider@674da77b]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=e-commerce-dashboard.unxzp.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-75g8zl-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='e-commerce-dashboard', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
11:23:06.180 5936 INFO  org.mongodb.driver.cluster - Adding discovered server e-commerce-dashboard-shard-00-01.unxzp.mongodb.net:27017 to client view of cluster
11:23:06.244 6000 INFO  org.mongodb.driver.cluster - Adding discovered server e-commerce-dashboard-shard-00-00.unxzp.mongodb.net:27017 to client view of cluster
11:23:06.270 6026 INFO  org.mongodb.driver.cluster - Adding discovered server e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017 to client view of cluster
11:23:06.858 6614 INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=e-commerce-dashboard-shard-00-00.unxzp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=e-commerce-dashboard-shard-00-01.unxzp.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
11:23:07.325 7081 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=e-commerce-dashboard-shard-00-01.unxzp.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=458714000, setName='atlas-75g8zl-shard-0', canonicalAddress=e-commerce-dashboard-shard-00-01.unxzp.mongodb.net:27017, hosts=[e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017, e-commerce-dashboard-shard-00-00.unxzp.mongodb.net:27017, e-commerce-dashboard-shard-00-01.unxzp.mongodb.net:27017], passives=[], arbiters=[], primary='e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=73, topologyVersion=TopologyVersion{processId=671f537181965ae5e34e8c52, counter=5}, lastWriteDate=Thu Oct 31 11:23:06 PKT 2024, lastUpdateTimeNanos=74609608091900}
11:23:07.326 7082 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=462686900, setName='atlas-75g8zl-shard-0', canonicalAddress=e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017, hosts=[e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017, e-commerce-dashboard-shard-00-00.unxzp.mongodb.net:27017, e-commerce-dashboard-shard-00-01.unxzp.mongodb.net:27017], passives=[], arbiters=[], primary='e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000004c, setVersion=73, topologyVersion=TopologyVersion{processId=671f50c124c1ba12be1258e4, counter=9}, lastWriteDate=Thu Oct 31 11:23:06 GMT+05:00 2024, lastUpdateTimeNanos=74609607856400}
11:23:07.326 7082 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=e-commerce-dashboard-shard-00-00.unxzp.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=458163600, setName='atlas-75g8zl-shard-0', canonicalAddress=e-commerce-dashboard-shard-00-00.unxzp.mongodb.net:27017, hosts=[e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017, e-commerce-dashboard-shard-00-00.unxzp.mongodb.net:27017, e-commerce-dashboard-shard-00-01.unxzp.mongodb.net:27017], passives=[], arbiters=[], primary='e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=73, topologyVersion=TopologyVersion{processId=671f51ede00011b9468482fd, counter=5}, lastWriteDate=Thu Oct 31 11:23:06 GMT+05:00 2024, lastUpdateTimeNanos=74609607856300}
11:23:07.332 7088 INFO  org.mongodb.driver.cluster - Discovered replica set primary e-commerce-dashboard-shard-00-02.unxzp.mongodb.net:27017 with max election id 7fffffff000000000000004c and max set version 73
11:23:08.548 8304 INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation should only be used on methods with parameters: public java.lang.Object com.e_Commerce_app_group.e_commerce_dashboard.controllers.PublicController.getAlCategories()
11:23:08.916 8672 INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailServiceImpl
11:23:10.064 9820 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
11:23:10.110 9866 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
11:23:10.130 9886 INFO  c.e.e.ECommerceDashboardApplication - Started ECommerceDashboardApplication in 9.108 seconds (process running for 10.316)
